13,"loginId1","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return sumA + sumB + sumC; }","JavaScript"
13,"loginId2","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return sumA + sumB + sumC; }","JavaScript"
13,"loginId3","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return sumA + sumB + sumC; }","JavaScript"
13,"loginId1","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return sumA + sumB + sumC; }","JavaScript"
13,"loginId2","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return sumA + sumB + sumC; }","JavaScript"
13,"loginId3","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return sumA + sumB + sumC; }","JavaScript"
13,"loginId1","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return sumA + sumB + sumC; }","JavaScript"
13,"loginId2","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return sumA + sumB + sumC; }","JavaScript"
13,"loginId3","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return sumA + sumB + sumC; }","JavaScript"
14,"loginId1","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return [sumA, sumB, sumC]; }","JavaScript"
14,"loginId2","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return [sumA, sumB, sumC]; }","JavaScript"
14,"loginId3","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return [sumA, sumB, sumC]; }","JavaScript"
14,"loginId1","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return [sumA, sumB, sumC]; }","JavaScript"
14,"loginId2","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return [sumA, sumB, sumC]; }","JavaScript"
14,"loginId3","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return [sumA, sumB, sumC]; }","JavaScript"
14,"loginId1","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return [sumA, sumB, sumC]; }","JavaScript"
14,"loginId2","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return [sumA, sumB, sumC]; }","JavaScript"
14,"loginId3","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return [sumA, sumB, sumC]; }","JavaScript"
14,"loginId1","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return [sumA, sumB, sumC]; }","JavaScript"
14,"loginId2","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return [sumA, sumB, sumC]; }","JavaScript"
14,"loginId3","function solution(a, b, c) { console.log(a); console.log(b); console.log(c); let sumA = 0; let sumB = 0; let sumC = 0; for(const temp of a) { sumA += temp; } for(const temp of b) { sumB += temp; } sumC += c; return [sumA, sumB, sumC]; }","JavaScript"
